18,21,21,30,30,30,30,30,30,30,30,30,30,30,21,21,21,24
28,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,34
28,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,34
19,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,34
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25
28,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,25
19,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,25
19,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,34
20,23,23,32,32,32,23,32,32,32,32,32,32,32,23,23,23,26
